,Headline,Source,Sentiment,Positive_score,Neutral_score,Negative_score,Key_words
0,"Erdogan vows to quit when 'enough', sparks Twitter trend",News24,NEUTRAL,0.004595705,0.885126829,0.105156571,['Erdogan']
1,"Erdogan speech in Turkey backfires, leading to widespread 'enough' hashtag",CBC.ca,NEUTRAL,0.015908869,0.961791635,0.019723412,"['Erdogan speech', 'Turkey', 'widespread']"
2,"I'll step aside when Turkey says 'enough', says Erdogan. Twitter responds",euronews,NEUTRAL,0.072909474,0.871536374,0.044631552,"['Turkey', 'Erdogan', 'Twitter']"
3,Has Erdogan accidentally gifted the Turkish opposition with a catchy slogan?,Kurdistan24,NEUTRAL,0.029603155,0.923211098,0.035578109,"['Erdogan', 'the Turkish opposition', 'a catchy slogan']"
4,Erdogan pledge to quit when 'enough' sparks Twitter trend,Gulf Times,NEUTRAL,0.00985387,0.859170318,0.12272758,['Erdogan']
5,'That's enough' trends on Twitter after Turkey's President Erdogan vowed he would not run for re-election 'if my people ...,Daily Mail,NEUTRAL,0.008941587,0.916660845,0.068492338,"['trends', 'Twitter', 'Turkey', 'President Erdogan', 're-election', 'my people']"
6,Turkish twitter hashtag 'Tamam' trending in opposition to Erdogan,Middle East Eye,NEUTRAL,0.002120674,0.995069146,0.002612143,"['Turkish twitter hashtag', ""'Tamam"", ""' trending"", 'opposition']"
7,"'Serbia, Turkey are building bridges of friendship'",Brinkwire (press release),NEUTRAL,0.042799953,0.942788959,0.011974328,"['Serbia', 'Turkey', 'bridges', 'friendship']"
8,ErdoÄŸan's election manifesto,Daily Sabah,NEUTRAL,0.009923174,0.942313194,0.045631595,['ErdoÄŸan']
9,How will the Turkish economy take shape in the post-election period?,Daily Sabah,NEUTRAL,0.003856568,0.990247905,0.00540739,"['the Turkish economy', 'shape', 'the post-election period']"
10,Incumbent president likely to be re-elected in first round on June 24: survey,Daily Sabah,NEUTRAL,0.004989526,0.943441272,0.04894188,"['Incumbent president', 'first round', 'June 24']"
11,As always Turkey's polls will be free and fair,Daily Sabah,NEUTRAL,0.107703008,0.877157331,0.011505729,"['Turkey', 'polls']"
12,Tamam: opponents top Twitter in bid to topple Turkey's ErdoÄŸan,The Guardian,NEUTRAL,0.015876271,0.980719388,0.002415114,"['Tamam', 'opponents', 'top Twitter', 'bid', 'Turkey']"
13,Turkish Opposition Wants Erdogan to Avoid Ratings-Boosting Military Operations,Sputnik International,NEUTRAL,0.003242149,0.972887337,0.022401853,"['Turkish Opposition Wants Erdogan', 'Ratings-Boosting Military']"
14,Thousands say 'that's enough' to Turkish president on Twitter,Belfast Telegraph,NEUTRAL,0.012488737,0.970363736,0.015816228,"['Thousands', 'Turkish president']"
15,"#TAMAM: Turkish social media erupts, telling ErdoÄŸan ""enough is enough""",Ahval,NEUTRAL,0.014789752,0.974210739,0.008289691,"['#TAMAM', 'Turkish social media', 'ErdoÄŸan']"
16,"Turkish social media lights up, telling ErdoÄŸan ""enough is enough""",Ahval,NEUTRAL,0.025517885,0.951847672,0.017199626,"['Turkish social media', 'ErdoÄŸan']"
17,ErdoÄŸan slams France over Quran proposal,Hurriyet Daily News,NEUTRAL,0.004975213,0.945611,0.047728907,"['ErdoÄŸan', 'France']"
18,Erdogan: Turkey will carry out new military operations after Syria offensives,Middle East Monitor,NEUTRAL,0.010546913,0.98218888,0.005839612,"['Erdogan', 'Turkey', 'new military operations']"
19,EP President Tajani calls for fair and free elections in Turkey,Stockholm Center for Freedom,NEUTRAL,0.011708542,0.953050017,0.032465104,"['EP President Tajani', 'fair and free elections']"
20,Erdogan: Turkey opens all military archives to investigate 1915 events,Trend News Agency,NEUTRAL,0.010016556,0.984914899,0.00406326,"['Erdogan', 'Turkey', 'all military archives']"
21,Turk Cypriot journalist pledges to continue writing the truth about Afrin,Ahval,NEUTRAL,0.034449235,0.951476634,0.012040295,"['Turk Cypriot journalist', 'the truth']"
22,"Turkey's Erdogan promises to lower inflation, interest rates after elections",Brinkwire (press release),NEUTRAL,0.007058762,0.97646457,0.015092181,"['Turkey', 'Erdogan', 'inflation', 'interest rates']"
23,Turkey's ErdoÄŸan says main opposition's candidate a puppet,Ahval,NEUTRAL,0.007043413,0.94377476,0.047106333,"['Turkey', 'ErdoÄŸan', 'main opposition', 'candidate']"
24,"ErdoÄŸan adviser: Lira is free-floating, interest is the enemy",Ahval,NEUTRAL,0.042377457,0.938259244,0.015219823,"['ErdoÄŸan adviser', 'Lira', 'interest']"
25,Turkey elections: Why Abdullah Gul's bid to challenge Erdogan failed,Middle East Eye,NEUTRAL,0.004101503,0.865448833,0.125298724,"['Turkey elections', 'Abdullah Gul', 'bid', 'Erdogan']"
26,[TAMAM] One million tweets say 'Enough' to Turkish President Erdogan,Turkey Purge,NEUTRAL,0.006134107,0.984780908,0.008380153,"['[TAMAM]', 'One million tweets']"
27,ErdoÄŸan says lira under attack as currency hits new low,Ahval,NEUTRAL,0.006605412,0.838143826,0.151440114,"['ErdoÄŸan', 'lira', 'attack', 'currency hits']"
28,Not voting AKP targets ErdoÄŸan and Islam - columnist,Ahval,NEUTRAL,0.01902394,0.941009521,0.036168464,"['Not voting AKP targets', 'ErdoÄŸan and Islam']"
29,ErdoÄŸan slams French manifesto targeting Quran,Daily Sabah,NEUTRAL,0.006468068,0.989319563,0.003798318,"['ErdoÄŸan', 'French manifesto']"
30,Turkey's Perfect Path to Autocracy,Carnegie Europe,POSITIVE,0.671526909,0.322036862,0.001701871,"['Turkey', 'Perfect Path']"
31,A crucial turn for Turkey,Hurriyet Daily News,NEUTRAL,0.061840642,0.909037173,0.026236594,['A crucial turn']
32,Erdogan faces two-front challenge from secularists and Islamists,New Europe,NEUTRAL,0.009967294,0.984149039,0.005192757,"['Erdogan', 'two-front challenge', 'secularists']"
33,"Turkey is biggest country in Balkans, says Serbian president",B92,NEUTRAL,0.005634052,0.777736545,0.211967975,"['Turkey', 'biggest country', 'Balkans']"
34,Erdogan may meet presidential candidate from Turkish opposition,Trend News Agency,NEUTRAL,0.003609106,0.993835211,0.002327007,"['Erdogan', 'presidential candidate']"
