,Headline,Source,Sentiment,Positive_score,Neutral_score,Negative_score,Key_words
0,Erdogan: Israel sowing fear and pushing region to war,Ynetnews,NEUTRAL,0.00655029620975256,0.9614677429199219,0.029417136684060097,"['Erdogan', 'Israel', 'fear', 'region']"
1,Turkey eyes positive post-Brexit relations with UK,Middle East Monitor,NEUTRAL,0.036920975893735886,0.9457594156265259,0.015395406633615494,"['Turkey', 'positive post-Brexit relations']"
2,Turkey's president begins UK visit,TRT World,NEUTRAL,0.007835189811885357,0.9667292237281799,0.024098653346300125,"['Turkey', 'president']"
3,Erdogan Aims to increase Foreign Students in Turkish Universities to 350000,Al-Bawaba,NEUTRAL,0.012400955893099308,0.9856336712837219,0.0014976572711020708,"['Erdogan Aims', 'Foreign Students', 'Turkish Universities']"
4,Erdogan says Turkey has taken steps on interest rates,Ahval,NEUTRAL,0.008718459866940975,0.9588500261306763,0.029959719628095627,"['Erdogan', 'Turkey', 'steps']"
5,Press agenda on May 13,www.worldbulletin.net,NEUTRAL,0.009307915344834328,0.9766247868537903,0.013207778334617615,['agenda']
6,"Turkish president slams interest lobby, credit agencies",Brinkwire (press release),NEUTRAL,0.005150871351361275,0.9185193777084351,0.07357784360647202,"['Turkish president', 'interest lobby']"
7,"Turkish election not fair, says jailed presidential hopeful",Herald-Whig,NEUTRAL,0.002951639471575618,0.9375301003456116,0.05764308571815491,['Turkish election']
8,Tightening race places Turkey's Kurds at the centre,The Arab Weekly,NEUTRAL,0.012748105451464653,0.9685714244842529,0.017118938267230988,"['Tightening race', 'Turkey', 'Kurds']"
9,Shunned by Europe but Turkey's Erdogan to get red carpet treatment in Britain tomorrow,Express.co.uk,NEUTRAL,0.019097084179520607,0.9303156733512878,0.032574545592069626,"['Europe', 'Turkey', 'Erdogan', 'red carpet treatment']"
10,Turkey seeking to draw more foreign students: Erdogan,Anadolu Agency,NEUTRAL,0.019101053476333618,0.9614969491958618,0.017333917319774628,"['Turkey', 'more foreign students']"
11,Erdogan Again Condemns High Interest Rates,Financial Tribune,NEUTRAL,0.017172249034047127,0.9678907990455627,0.013383650220930576,['Erdogan Again Condemns High Interest']
12,"Foreign students in Turkey will receive health insurance, work permission, ErdoÙan says",Daily Sabah,NEUTRAL,0.004510782193392515,0.9848006963729858,0.009913397021591663,"['Foreign students', 'Turkey', 'health insurance', 'permission', 'Erdo\x80Ùan']"
13,Turkish president to visit UK on May 13,Brinkwire (press release),NEUTRAL,0.004152650013566017,0.978764533996582,0.01618930697441101,"['Turkish president', 'UK']"
14,Turkey aims to rank among top 5 global destinations for int'l students: ErdoÙan,Yeni _afak English,NEUTRAL,0.016721993684768677,0.9818665385246277,0.0008246197830885649,"['Turkey', 'top 5 global destinations', 'int', ""'l students""]"
15,US-Turkey Arms Tiff: Retaliation vs Retreat,Sputnik International,NEUTRAL,0.0064938683062791824,0.9889821410179138,0.0039121173322200775,['US-Turkey Arms Tiff']
16,'Turkish banks fully follow rules on money laundering',Brinkwire (press release),NEUTRAL,0.006001121364533901,0.982293426990509,0.010957464575767517,"['Turkish banks', 'rules', 'money']"
17,Arab journalists see Turkey's early polls 'important',Brinkwire (press release),NEUTRAL,0.012804469093680382,0.9772353768348694,0.008833040483295918,"['Arab journalists', 'Turkey', 'early polls', ""'important""]"
18,Britain Should use Erdogan Visit to Speak out on Human Rights,Human Rights Watch,NEUTRAL,0.00570495193824172,0.7547461986541748,0.23260369896888733,"['Britain', 'Erdogan Visit']"
19,Turkey stands to suffer under new US sanctions on Iran,Al-Monitor,NEUTRAL,0.018818657845258713,0.930448055267334,0.04561759531497955,"['Turkey', 'new US sanctions']"
20,Recep Tayyip Erdogan to foreign rating agencies: 'Greece has gone bankrupt but still gets loans',Focus News,NEUTRAL,0.02201407216489315,0.8973149657249451,0.06377469003200531,"['Recep Tayyip Erdogan', 'foreign rating agencies', 'Greece', 'bankrupt', 'loans']"
21,Lira slumps after Erdogan says interest rates 'evil',DAWN.com,NEUTRAL,0.007162932306528091,0.8232986330986023,0.16492114961147308,"['Lira slumps', 'Erdogan', 'interest rates', ""'evil""]"
22,"Turkey's Erdogan calls interest rates ""mother of all evil""; lira slides",Reuters,NEUTRAL,0.010319325141608715,0.9215540289878845,0.05940457805991173,"['Turkey', 'Erdogan', 'interest rates', 'mother', 'all evil', 'lira']"
23,Turkey's opposition parties cooperate on election security,Hurriyet Daily News,NEUTRAL,0.004091189708560705,0.9849660396575928,0.01013999804854393,"['Turkey', 'opposition parties']"
24,Turkey says US Iran deal pullout 'opportunity' for Ankara,The Siasat Daily,NEUTRAL,0.006071306299418211,0.906158983707428,0.0845164805650711,"['Turkey', 'US Iran deal pullout', ""'opportunity""]"
25,"Erdogan's UK visit to boost ties, says British envoy",Brinkwire (press release),NEUTRAL,0.006713191047310829,0.9882434606552124,0.004306845832616091,"['Erdogan', 'UK visit', 'ties']"
